txn_id,account_id,timestamp,amount,txn_type,merchant,city,lat,lon,status,is_fraud,fraud_type,velocity_flag,geo_flag,notes
TXN-415201,ACC-00081,2025-01-01 00:01:41.034347,73.85,Online,Netflix,"Denver, US",39.71764452318778,-104.95876998081799,Approved,False,,False,False,
TXN-954987,ACC-00019,2025-01-01 00:01:49.042623,35.12,Wire,Uber,"Houston, US",29.7277708288497,-95.41982020933271,Approved,False,,False,False,
TXN-136346,ACC-00069,2025-01-01 00:03:50.997372,65.12,Wire,Delta Airlines,"New York, US",40.69622697897746,-74.04452214194383,Approved,False,,False,False,
TXN-757776,ACC-00055,2025-01-01 00:26:50.196650,15.19,POS,Delta Airlines,"Miami, US",25.732887046440982,-80.17637265086888,Approved,False,,False,False,
TXN-255863,ACC-00061,2025-01-01 00:42:52.685479,1127.28,POS,CVS Pharmacy,"Dallas, US",32.7706796005558,-96.83619102067135,Approved,False,,False,False,
TXN-294069,ACC-00003,2025-01-01 01:01:08.592638,83.63,POS,Netflix,"Lagos, NG",6.494919631230119,3.389512847676783,Approved,False,,False,False,
TXN-822742,ACC-00077,2025-01-01 01:05:05.331036,113.73,POS,Netflix,"Lagos, NG",6.482741746644177,3.361337229128233,Approved,False,,False,False,
TXN-902575,ACC-00110,2025-01-01 01:09:31.646660,54.62,P2P,Walmart,"Seattle, US",47.600550785599786,-122.35883218243188,Approved,False,,False,False,
TXN-699678,ACC-00187,2025-01-01 01:10:51.525212,21.87,Online,Apple Store,"Boston, US",42.379463820354566,-71.10116155055968,Approved,False,,False,False,
TXN-146168,ACC-00160,2025-01-01 01:20:52.933592,299.24,POS,Apple Store,"Dallas, US",32.814596698293414,-96.82330652413985,Approved,False,,False,False,
TXN-625021,ACC-00108,2025-01-01 01:22:16.394232,190.88,Online,Home Depot,"Boston, US",42.38652607654752,-71.02288312351712,Approved,False,,False,False,
TXN-874368,ACC-00156,2025-01-01 01:24:30.716309,60.48,ATM,Amazon,"Chicago, US",41.85834222201786,-87.6679873502521,Approved,False,,False,False,
TXN-347085,ACC-00172,2025-01-01 01:29:56.304746,9.42,P2P,Best Buy,"Houston, US",29.808953626918356,-95.39900276144252,Approved,False,,False,False,
TXN-283537,ACC-00083,2025-01-01 01:31:32.434009,23.97,ATM,McDonald's,"Boston, US",42.39544860073949,-71.06581594473404,Approved,False,,False,False,
TXN-469366,ACC-00129,2025-01-01 01:40:10.564036,60.16,Wire,Delta Airlines,"Dallas, US",32.730136356482305,-96.77551598453903,Approved,False,,False,False,
TXN-455446,ACC-00090,2025-01-01 01:42:35.980520,1.16,P2P,Walmart,"Austin, US",30.27193392537064,-97.78040146684906,Approved,False,,False,False,
TXN-195513,ACC-00029,2025-01-01 01:44:07.180004,10.93,Wire,CVS Pharmacy,"Miami, US",25.727353174974283,-80.18957444708768,Approved,False,,False,False,
