txn_id,account_id,timestamp,amount,txn_type,merchant,city,lat,lon,status,is_fraud,fraud_type,velocity_flag,geo_flag,notes
TXN-8420162,ACC-00270,2025-01-15 00:06:48.193575,164.39,Wire,Starbucks,"Austin, US",30.229442581872988,-97.76973468695353,Approved,False,,False,False,
TXN-9787882,ACC-00330,2025-01-15 00:17:11.988436,174.46,Online,Target,"London, UK",51.48575224182942,-0.15416815439636172,Approved,False,,False,False,
TXN-8751668,ACC-00215,2025-01-15 00:19:20.515486,160.82,ATM,Airbnb,"Seattle, US",47.62964821124778,-122.31848607892569,Approved,False,,False,False,
TXN-8543802,ACC-00387,2025-01-15 00:28:39.759936,17.42,Wire,Home Depot,"New York, US",40.68954509617742,-74.02600051166954,Approved,False,,False,False,
TXN-7047892,ACC-00290,2025-01-15 00:32:25.142047,59.56,Online,Airbnb,"Miami, US",25.73197762604946,-80.19273154001664,Approved,False,,False,False,
TXN-3565877,ACC-00349,2025-01-15 00:39:36.822253,23.04,P2P,Home Depot,"Dallas, US",32.817323702977845,-96.77762403745001,Approved,False,,False,False,
TXN-7101302,ACC-00299,2025-01-15 00:50:54.067515,30.53,POS,DoorDash,"Denver, US",39.69848940549114,-104.97871278129703,Approved,False,,False,False,
TXN-8758134,ACC-00386,2025-01-15 00:51:28.161576,19.24,Online,Netflix,"Boston, US",42.38562806548308,-71.07475130409854,Approved,False,,False,False,
TXN-3165632,ACC-00344,2025-01-15 00:51:49.841460,136.9,P2P,Best Buy,"Lagos, NG",6.531070050885625,3.3912850966325907,Approved,False,,False,False,
TXN-6860856,ACC-00231,2025-01-15 00:53:13.851817,22.86,ATM,Walmart,"Los Angeles, US",34.00261169764722,-118.22531724374895,Approved,False,,False,False,
TXN-7910153,ACC-00254,2025-01-15 00:54:39.181526,85.45,Wire,Delta Airlines,"Dallas, US",32.799006141853845,-96.80190221783681,Approved,False,,False,False,
TXN-5330248,ACC-00364,2025-01-15 00:56:53.821296,21.94,ACH,Walmart,"Lagos, NG",6.50991609245232,3.3369600363490037,Approved,False,,False,False,
TXN-8791934,ACC-00217,2025-01-15 00:58:55.054721,45.68,Online,Delta Airlines,"Chicago, US",41.85002431623615,-87.59766712095912,Approved,False,,False,False,
TXN-7716921,ACC-00320,2025-01-15 01:05:17.522261,215.06,POS,Best Buy,"London, UK",51.54974550111809,-0.10062583918636861,Approved,False,,False,False,
TXN-8434181,ACC-00273,2025-01-15 01:05:50.596137,57.18,ACH,Best Buy,"Chicago, US",41.84550103034281,-87.66640365167092,Approved,False,,False,False,
